iter	RMSE
0	0.01042539184
1	0.01042380794
2	0.010422334
3	0.0104209421
4	0.01041971855
5	0.0104187229
6	0.01041748631
7	0.01041646928
8	0.01041459515
9	0.01041338044
10	0.01041213402
11	0.01041122478
12	0.01041015478
13	0.01040865172
14	0.01040794528
15	0.01040667701
16	0.01040573931
17	0.01040470034
18	0.01040373326
19	0.01040234967
20	0.01040117274
21	0.01040036057
22	0.01039972759
23	0.01039868762
24	0.01039771118
25	0.01039677947
26	0.01039548662
27	0.0103938201
28	0.0103930618
29	0.01039156628
30	0.01039011779
31	0.01038871677
32	0.01038737485
33	0.01038611049
34	0.01038438315
35	0.01038354202
36	0.01038278818
37	0.01038184832
38	0.01038100257
39	0.01038014032
40	0.01037877965
41	0.01037801745
42	0.01037723795
43	0.01037632566
44	0.01037505794
45	0.01037386829
46	0.01037297415
47	0.0103718332
48	0.01037115676
49	0.01037054166
50	0.01036971505
51	0.01036916408
52	0.01036780157
53	0.01036646537
54	0.01036529801
55	0.01036441237
56	0.01036372862
57	0.01036210678
58	0.01036129275
59	0.01035964764
60	0.01035870246
61	0.01035807055
62	0.01035692435
63	0.01035611514
64	0.01035543244
65	0.01035474448
66	0.01035328883
67	0.01035205005
68	0.01035147442
69	0.01035016385
70	0.01034893032
71	0.01034795441
72	0.0103464226
73	0.01034555867
74	0.01034492838
75	0.0103441311
76	0.0103431479
77	0.0103426285
78	0.01034181897
79	0.01034046896
80	0.01033974579
81	0.01033887124
82	0.01033813508
83	0.01033720927
84	0.01033630834
85	0.01033555147
86	0.01033475749
87	0.01033401299
88	0.0103335032
89	0.01033270746
90	0.01033181419
91	0.01033124911
92	0.01033045561
93	0.01032974907
